,title,original_title,overview,overview_word_count,release_date,release_year,original_language,genres,vote_average,vote_count,popularity
86,Rascal Does Not Dream Of A Dreaming Girl,青春ブタ野郎はゆめみる少女の夢を見ない,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",32,2019-06-15,2019,Japanese,"['Animation', 'Romance', 'Drama', 'Fantasy']",8.244,567,2.241
87,Life In A Year,Life in a Year,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",28,2020-11-27,2020,English,"['Drama', 'Romance']",8.24,1942,4.2582
88,I Want To Eat Your Pancreas,君の膵臓をたべたい,"After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",25,2018-09-01,2018,Japanese,"['Animation', 'Drama', 'Romance']",8.2,1679,4.3637
89,Avengers: Endgame,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",58,2019-04-24,2019,English,"['Adventure', 'Science Fiction', 'Action']",8.237,26933,13.2431
90,Avengers: Infinity War,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",87,2018-04-25,2018,English,"['Adventure', 'Action', 'Science Fiction']",8.235,31145,22.9119
91,The Matrix,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",32,1999-03-31,1999,English,"['Action', 'Science Fiction']",8.235,26999,16.8943
92,Klaus,Klaus,"A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it.",22,2019-11-08,2019,English,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",8.2,4394,5.3472
93,Taylor Swift: Reputation Stadium Tour,Taylor Swift: Reputation Stadium Tour,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",23,2018-12-31,2018,English,['Music'],8.228,416,3.7608
94,Five Feet Apart,Five Feet Apart,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",81,2019-03-14,2019,English,"['Romance', 'Drama']",8.226,5803,6.0064
95,Out Of The Clear Blue Sky,Como caído del cielo,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.",24,2019-12-24,2019,Spanish,"['Comedy', 'Drama', 'Music']",8.225,364,0.875
96,Come And See,Иди и смотри,"The invasion of a village in Belarus by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",68,1985-10-17,1985,Russian,"['Drama', 'War']",8.2,1697,5.2878
97,Green Book,Green Book,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",51,2018-11-16,2018,English,"['Drama', 'Comedy', 'History']",8.225,12372,7.3514
98,Saving Private Ryan,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",40,1998-07-24,1998,English,"['Drama', 'History', 'War']",8.221,16652,10.8428
99,Gladiator,Gladiator,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",46,2000-05-04,2000,English,"['Action', 'Drama', 'Adventure']",8.22,20223,13.6814
100,Il Sorpasso,Il sorpasso,"Roberto, a shy law student in Rome, meets Bruno, a forty-year-old exuberant, capricious man, who takes him for a drive through the Roman and Tuscany countries in the summer. When their journey starts to blend into their daily lives though, the pair’s newfound friendship is tested.",46,1962-12-05,1962,Italian,"['Drama', 'Comedy', 'Adventure']",8.219,812,5.9536
101,"The Boy, The Mole, The Fox And The Horse","The Boy, the Mole, the Fox and the Horse","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy's search for home.",21,2022-12-25,2022,English,"['Animation', 'Family', 'Adventure', 'Fantasy']",8.216,668,2.9704
102,Wolf Children,おおかみこどもの雨と雪,"After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.",40,2012-07-21,2012,Japanese,"['Animation', 'Family', 'Drama', 'Fantasy']",8.217,2393,4.0955
103,Kpop Demon Hunters,KPop Demon Hunters,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",23,2025-06-20,2025,English,"['Fantasy', 'Music', 'Comedy', 'Animation']",8.21,1916,89.4165
104,Mommy,Mommy,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",22,2014-09-19,2014,French,['Drama'],8.2,2790,2.9507
105,Michael Jackson'S Thriller,Michael Jackson's Thriller,"A night at the movies turns terrifying when Michael and his date are attacked by zombies. Released at the height of Thriller’s success, the short film redefined the music video, broke racial barriers, and became the first inducted into the U.S. National Film Registry.",44,1983-11-14,1983,English,"['Horror', 'Thriller', 'Music']",8.2,726,5.2701
106,Inglourious Basterds,Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",60,2009-08-02,2009,English,"['Drama', 'Thriller', 'War']",8.214,23410,14.56
107,Justice League Dark: Apokolips War,Justice League Dark: Apokolips War,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",59,2020-05-05,2020,English,"['Animation', 'Action', 'Adventure', 'Fantasy']",8.213,1523,2.726
108,Witness For The Prosecution,Witness for the Prosecution,An ailing barrister agrees to defend a man in a sensational murder trial where the unconvincing testimony of the defendant's wife becomes a subject of confusion.,26,1957-12-17,1957,English,"['Drama', 'Mystery', 'Crime']",8.212,1575,8.2992
109,Demon Slayer -Kimetsu No Yaiba- The Movie: Mugen Train,劇場版「鬼滅の刃」無限列車編,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",62,2020-10-16,2020,Japanese,"['Animation', 'Action', 'Fantasy', 'Thriller']",8.209,4313,14.0103
110,Puss In Boots: The Last Wish,Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",47,2022-12-07,2022,English,"['Animation', 'Adventure', 'Fantasy', 'Comedy', 'Family']",8.2,8485,13.4241
111,The Shining,The Shining,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",43,1980-05-23,1980,English,"['Horror', 'Thriller']",8.2,18338,12.5169
112,Wolfwalkers,Wolfwalkers,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",68,2020-10-26,2020,English,"['Animation', 'Family', 'Adventure', 'Fantasy']",8.205,1305,11.0563
113,The Help,The Help,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",101,2011-08-09,2011,English,['Drama'],8.204,8745,13.1582
